plate,review_reason_code,customer_meaning,reviewer_comments,status,our decision,notes
JUSFOAD,3,JUST FOR OUR ANGEL DAVID,JUST FUCK OFF AND DIE,N,Y,Approved
LXIXSTR,1,LEXI IS MY WIFE AND SHE IS A SURVIVOR SO THE STR INDICATES STRENGTH,LXIX IS 69. 69 STAR,N,Y,Approved
RBNASLT,7,URBAN ASSAULT,URBAN ASSAULT… SINGLE PERSON SHOOTER VIDEO GAME,N,Y,Approved
RED ROGR,7,MY HAIR COLOR AND MY NAME,RED-GANG. CUSTOMERS NAME IS ROGER,Y,N,invalid length
WACHY88,2,NO MICRO,88-HITLER,N,Y,Approved
BALA,2,FIRST PART OF MY NAME,BALLER. LAST NAME IS BALAMURALIK,N,Y,Approved
BAL 515O,1,BALANCE5150 IS MY WEBSITE AND BUSINESS NAME. BALANCE5150.NET AS AN INDEPENDENT DESIGNER I WOULD LIKE MY VEHICLE TO BE MEMORABLE,BALL CRAZY BUT HIS MEANING IS TRUE,Y,N,invalid length
BOOOOOM,2,SPELLS BOOM BUT WITH MULTIPLE O'S,"BOOM, EXPLOSION SOUND",N,Y,Approved
B84N88T,2,THE LETTERS ARE MY INITIAL FOR MY LAST NAME AND THE NUMBERS ARE MY FAVORITE AND LUCKY NUMBERS,"88=HATE SYMBOL, NO 1988 CAR",N,Y,Approved
F14DVF2,2,AIRPLANE AND SQUADRON,14=HATE SYMBOL,N,Y,Approved
GRVSEND,2,GRAVES END AN AREA OF BROOKLYN NY,"GRAVE SEND, LIKE SEND YOU TO THE GRAVE? BUT GRAVESEND IS A NEIGHBORHOOD IN BROOKLYN",N,Y,Approved
HEMI619,2,MY VEHICLE HAS A HEMI MOTOR AND I LIVE IN THE 619 AREA CODE,"AREA CODE, SAN DIEGO",N,Y,Approved
THDRCAT,1,VEHICLE'S NICKNAME DUE TO HOLDEN SYMBOL AND CHILDHOOD CARTOON,CAT=PUSSY… NO CAT CAR,N,Y,Approved
YOBBO,2,IT IS AN OLD NICKNAME,"AN AGGRESSIVE AND SURLY YOUTH, THUG (COLLINS DICTIONARY) BRITISH SLANG",N,Y,Approved
YOKA31O,2,yoka is the name my grandparents gave me as I was growing up. My family calls me that and 310 is the area code in which I grew up also brings good memories,L.A. AREA CODE,N,Y,Approved
14JW2C,2,NO QUICKWEB,"14=HATE SYMBOL, NO 2014 CAR",N,Y,Approved
69FASTB,1,1969 FAST BACK,NO 69 ON ANI,N,Y,Approved
BDBLKMN,2,BAD BLACK MAN,BAD BLACK MAN,N,Y,Approved
KLSWTCH,2,NO QUICKWEB,KILL SWITCH,N,Y,Approved
ADVADCT,3,SHORT FOR 'ADV ADDICTS' NAME OF APPAREL COMPANY I OWN,ADDICT,N,Y,Approved
PAPO,1,MEANS LITTLE BOY,SPANISH SLANG FOR VAGINA,N,Y,Approved
JAWSETE,1,"LIKE 'JAWS', THE SHARK",JAW=ORAL SEX,N,Y,Approved
AKNZR88,2,MY LAST NAME AND LUCKY NUMBERS,88 HITLER REFERENCE,N,Y,Approved
ALMS715,2,NAMES AND DATE WE GOT MERRIED,715 AREA CODE,N,Y,Approved
HOBOW,2,CAT'S NAME,HOBO,Y,N,ho
LPS13,2,"FIRST NAME , LAST NAMES AND BIRTHDAY",13 GANG TRANSLATION,N,Y,Approved
ONE87,2,ONE = UNITY AND 87 WAS THE YEAR MY COUSIN WAS BORN (NOW DECEASED),187 MURDER CODE,N,Y,Approved
XIIV XII,2,ME AND MY BOYFRIEND'S ANNIVERSARY XIIVXII=12.5.12,LOOKS LIKE 13,Y,N,invalid length
BEZINIT,1,,BES IN IT,N,Y,Approved
MOORHED,1,LAST NAME,CUSTOMER LAST NAME IS MOOREHEAD BUT IT ALSO LOOKS LIKE MORE HEAD A SEXUAL REFERENCE,N,Y,Approved
CUCHIE,1,MY WIFE'S NAME AND IT WILL BE FOR HER CAR,VAGINA,N,Y,Approved
FKCHVRN,2,NO MEANING,FUCK CHEVRON,N,Y,Approved
GTWBALZ,2,MUSTANG GT WITH AFTERMARKET POWER MODIFICATIONS,BALLS.. GOT BALLS?,N,Y,Approved
M3KILRR,7,THIS SPECIFIC PLATE FOR MERCEDES C63 TO COMPETE WITH MBW M3,M3 KILLER,N,Y,Approved
TUFFGNG,7,THE NICKNAME FOR MY 1966 CHEVY IM RESTORING,TOUGH GANG,N,Y,Approved
54IDFWU,3,IT’S A CLASSIC,I DON’T FUCK WITH YOU,N,Y,Approved
88MONTY,2,VEHICLE IS A 1988 MITSUBISHI MONTERO,88-HITLER,N,Y,Approved
9114S13,2,PORSCHE 911 4S 2013,13-GANG,N,Y,Approved
HB BLUE,2,HUNTINGTON BEACH BLUE.,BLUE-GANG… LIVES IN HUNTINGTON BEACH,Y,N,invalid characters
HYPR BLU,2,HYPER BLUE IS THE COLOR OF THE VEHICLE,BLUE-GANG,Y,N,invalid length
NOT RED,2,CAR IS NOT RED,RED-GANG,Y,N,invalid characters
RED FIV,2,"LUKE SKYWALKER'S CALL SIGN FROM STAR WARS ""RED 5""",RED-GANG,Y,N,invalid characters
REDRUM6,7,IS FOR RED 66 CHEVY,MURDER6,N,Y,Approved
945PD,7,AIRPLANE REMEMBERANCE,PD-POLICE DEPARTMENT,N,Y,Approved
CZ88,2,,88 HITLER REFERENCE,N,Y,Approved
C4A2LOI,2,,CALI 420,N,Y,Approved
UCLA 888,2,,888,Y,N,invalid length
6666X18,2,,18 HITLER REFERENCE,N,Y,Approved
8MNB88,2,,88 HITLER REFERENCE,N,Y,Approved
DAWGFTR,2,,DOG FIGHTER,N,Y,Approved
ADART69,1,A - MY LAST NAME ARCEO  DART - MODEL  1969 - YEAR,69 SEXUAL REFERENCE,N,Y,Approved
FRNKY69,1,FRANKY'S 69,LOOKS LIKE FREAKY 69,Y,N,ky
HNDL911,2,MY HUSBAND IS A FIREMAN AND HANDEL IS OUR LASTNAME,911 EMERGENCY,N,Y,Approved
KSF88,2,KNOTTS SCARY FARM 88,88 HITLER REFERENCE,N,Y,Approved
8VETTE8,2,CORVETTE,88 HITLER REFERENCE,N,Y,Approved
ZHLY88,2,,88 HITLER REFERENCE,N,Y,Approved
B182REY,2,A SEQUENCE TO MY CURRENT PLATE WHICH IS B181REY,18 HITLER REFERENCE,Y,N,bi
FNKEMUP,3,IT IS A PLAY ON MY LAST NAME AND WINNING THE RACE AT THE TRACK,LOOKS LIKE FUCKING EM UP,N,Y,Approved
PNKIN88,2,PUNKIN BORN IN 1988,PINK SLANG FOR VAGINA 88 HITLER REFERENCE,N,Y,Approved
RN4L805,2,AM A REGISTERED NURSE AND LIVE IN THE 805 AREA CODE AREA,805 AREA CODE,N,Y,Approved
WCKDRGS,2,WICKED ROAD GLIDE SPECIAL. MAKE AND MODEL OF MOTORCYCLE,WACK DRUGS,N,Y,Approved
MYRAM14,2,YEAR AND MAKE OF TRUCK,14 GANG REFERENCE (CUSTOMER DOES HAVE A 2014 RAM),N,Y,Approved
OMFGT3,3,THE CAR IS A GT3,OMFG OH MY FUCKING GOSH,N,Y,Approved
BLU WYNN,7,NO MICRO,BLUE-GANG COLOR,Y,N,invalid length
CRBNO14,7,NO MICRO,14-HITLER RELATED. INTIALS BUT DOES NOT HAVE A 2014 VEHICLE,N,Y,Approved
ALYKAT,1,ALLEY CAT MY NICKNAME IS ALLY,"ALLEYKAY CAN MEAN A ""LOOSE"" GIRL. HER NAME IS ALEXANDRA.",N,Y,Approved
BAE2BAE,3,MY LAST NAME,"BAE CAN MEAN SHIT IN DANISH OR SLANG FOR BABE. THE LAST NAME IS ""BAE""",N,Y,Approved
BOTES13,7,MY LAST NAME IS BOTELLO….WHILE I SERVED IN THE US NAVY MY NICKNAME WAS BOTES-13 IS THE DAY I SURVIVED A CAR ACCIDENT IN CHICAGO.,13-GANG NUMBER. NO 2013 CAR,N,Y,Approved
FLAT SXX,1,"MEANS ""FLAT 6"", WHICH REFERS TO THE TYPE OF ENGINE FOUND IN ALL PORSCHE 911 VEHICLES.",FLAT SEX?,Y,N,invalid length
HB KOOK,2,CHILDHOOD NICKNAME,KOOK-GOOK? RACIAL SLUR,Y,N,invalid characters
REDPILL,2,IT'S FROM A MOVIE QUOTE FROM THE MATRIX,DRUG? URBAN SAYS YOU STAY IN A WONDERLAND. 1370 UP OR 175 DWN,N,Y,Approved
REDPYE,1,"JOHN STEINBECKS SHORT NOVEL ENTITLED ""RED PONY""",RED-GANG NUMBER. PYE-PIE VAGINA,N,Y,Approved
BEACHER,3,BEACH GOER,BITHCER,Y,N,"[('bitcher', 90.0, 229)]"
DSNY626,7,DISNEY AND STITCH,626 PASADENA AREA CODE,N,Y,Approved
REDDEVL,7,I HAVE A RED CAR. AND I LIKE THE NEW JERSEY DEVILS HOCKEY TEAM,RED-GANG COLOR,Y,N,evl
RED RKIT,7,NO MEANING GIVEN ON INTERNET ORDER,RED-GANG COLOR. ROCKET-WEAPON/. THOUGH SAMMY HAGAR IS KNOW HAS THE RED ROCKET,Y,N,invalid length
TXTNDRV,7,TEXAS AND TENNESSEE DOCOTR5. THERE ARE 5 DOCTORS IN OUR FAMILY FROM TX AND TENN,TEXT AND DRIVE?,N,Y,Approved
WETT,1,PAINT ON MY CAR IS SO SHINNY IT LOOKS WET,"WET-SEXUAL. ""WET"" EXP 2013",N,Y,Approved
BADHBTZ,3,to have bad habits,bad hollywood bitches (customer is in north hollywood),Y,N,contains the restricted letter combinationBAD
BLK FUEL,2,"black fuel, my creative outlet (I own blkfuel.com)",black,Y,N,invalid length
FIDOCAT,1,first pet,"cat=pussy, no cat car",N,Y,Approved
FORPLY,1,TO ENJOY,FOREPLAY,N,Y,Approved
MYOFB,3,MY OWN FIRST BABY,MIND YOUR OWN FUCKING BUSINESS,N,Y,Approved
OXA2F13,2,HEXADECIMAL CALL SIGN,"13=GANG NUMBER, NO 2013 CAR ON ANI",N,Y,Approved
SAWBONE,1,NO QUICKWEB,BONE=SEX BUT SAWBONE IS SLANG FOR A DOCTOR OR SURGEON,Y,N,"[('boner', 88.88888888888889, 16)]"
SUPRA14,2,SUPRA 01/14/1991,"14=HATE SYMBOL, NO 2014",N,Y,Approved
TOK1MON,3,NO QUICKWEB,"TOKE ONE, MON  (this is not a look-alike)",N,Y,Approved
IRQOMG,2,NO QUICKWEB,"IRAQ, OH MY GOD…? Political statement?",N,Y,Approved
3O3X9O9,2,NO QUICKWEB,"area codes 303=denver, 909=Los Angeles",N,Y,Approved
SKULL,1,NO QUICKWEB,slang for oral sex,N,Y,Approved
LAX2BCN,3,Los Angeles to Barcelona,bitchin?,N,Y,Approved
LXRYPRN,1,MEANS LUXURY AS NEEDED. I AM A NURSE AND PRN MEANS AS NEEDED,LUXURY PORN.. PRN IS AS NEEDED OR WHEN NECESSARY,N,Y,Approved
PBAMF,3,PROFESSIONAL BEAST AT MY FITNESS. INITIALS FOR MY UPCOMING CLOTHING LINE,BAD ASS MOTHER FUCKER,N,Y,Approved
UBER GAY,2,SUPPORTING GAY PRIDE,CAR SERVICE…..OFFENSIVE?,Y,N,invalid length
69COUGR,1,"I OWN A 1969 MERCURY COUGAR, SO MEANS THE YEAR OF THE CAR AND THE MODEL OF THE CAR",COULDN'T VERIFY 1969 VEHICLE,N,Y,Approved
88MMM88,2,MY FAVORITE NUMBER AND INITIALS,88-HITLER,N,Y,Approved
7O7COAL,7,IT’S THE NICKNAME FOR MY TRUCK AND THE PLACE WHERE I WAS BORN,SO CAL AREA CODE,N,Y,Approved
858SD,7,NO MICRO,SAN DIEGO AREA CODE,N,Y,Approved
ADHD 49R,2,I HAVE ADHD AND I'M PROUD AND HOPE TO SPREAD AWARENESS AND I LOVE THE SF 49ERS,ADHD ATTENTION DEFICIT DISORDER,Y,N,invalid length
LINEKNG,2,LINEKING,LINE KING,N,Y,Approved
MX88,2,,88 HITLER REFERENCE,N,Y,Approved
RESQ AMB,2,,LOOKS LIKE RESCUE AMBULANCE,Y,N,invalid length
13PENDU,2,NAME,13 GANG TRANSLATION,N,Y,Approved
EBMF,3,"INITIALS OF ERIN BRAUN, MASTER OF FINANCE DEGREE",ERIN BRAUN MOTHER FUCKER,N,Y,Approved
AOOOO88,2,LUCKY NUMBERS,88 HITLER REFERENCE,N,Y,Approved
BG BRNDA,2,MY BRAND NEW TRUCK'S NAME,BIG BRENDA,Y,N,invalid length
BLUE LEX,2,BLUE LEXUS,BLUE (ANI does not show a Lexus),Y,N,invalid length
CUCUCHY,1,NICKNAME,LOOK LIKE COOCHIE.. SEXUAL REFERENCE,N,Y,Approved
GO REDS,2,FAVORITE BASEBALL TEAM,REDS,Y,N,invalid characters
LULU88,2,MY NICKNAME,88 HITLER REFERENCE,N,Y,Approved
P88422U,2,,88 HITLER REFERENCE,Y,N,must be for disabled person or veteran
RDNKTRK,2,REDNECK TRUCK,RED NECK TRUCK,N,Y,Approved
WEDACAR,2,,WEED,N,Y,Approved
TULIP13,2,DUTCH FLOWER,13 GANG REFERENCE,N,Y,Approved
XB8B88X,2,RANDOM LIKED THE LOOK,88-HITLER,N,Y,Approved
8O5XDIY,2,DO IT YOURSELF,CUSTOMER'S  VENTURA AREA CODE,N,Y,Approved
FYB,3,FOR YOUR BMW,FUCK YOU BITCH,N,Y,Approved
HLLA LGT,1,HELLA LEGIT,HELLA,Y,N,invalid length
88KEL23,2,NO MICRO,88-HITLER,N,Y,Approved
BLAK 911,4,BLACK PORSCHE 911,911 EMERGENCY,Y,N,invalid length
EV 911 SC,2,ELECTRIC VEHICLE 911SC (PORSCHE),911 EMERGENCY,Y,N,invalid length
GOOOOON,2,"PLATES ARE GOING ON A 71' DATSUN WAGON. IN THE CAR ""SCENE"" THE DATSUN WAGONS ARE REFFERED TO AS GOONS",GOON ANOTHER WORD FOR THUG OR GANGSTER,N,Y,Approved
HELLION,2,"2016 DODGE ""HELLCAT"" CHALLENGER","a rowdy, mischievous, or troublemaking person, especially a child.",Y,N,contains the restricted letter combinationHEL
HELN8TR,2,,HELL,Y,N,contains the restricted letter combinationHEL
PRNZS13,2,"PRINCESS AND THE NUMBER ""13""",13 GANG REFERENCE,N,Y,Approved
515OE36,2,INSTAGRAM NAME / COMPETING NAME,5150 CRAZY,Y,N,must be for disabled person or veteran
PIRU,2,,ANOTHER WORD FOR BLOOD DEROGATORY TOWARDS CRIPS,N,Y,Approved
PT&GA2G,2,OUR FAMILIES INITIALS.,CAN NOT TRANSLATE,Y,N,invalid characters
NEW BLUE,2,OUR NEW CAR THAT'S BLUE IN COLOR,BLUE,Y,N,invalid length
BIT 515O,2,,A BIT CRAZY 5150,Y,N,invalid length
KISMUHS,2,MINI COOPER S,LOOKS LIKE KISS MY(MU) ASS (S),N,Y,Approved
MIGZ831,2,NICKNAME AND TOWN AREA CODE I GREW UP IN,831 AREA CODE,N,Y,Approved
PUMPY,1,MY GRANDKIDS CALL ME PUMPY INSTEAD OF GRANDPA BECAUSE I AM A PRO NATURAL BODYBUILDER,SEXUAL REFERENCE,N,Y,Approved
TATACOZ,1,TATA COZ,TATA BREAST.. TACO SLANG FOR VAGINA,N,Y,Approved
VIPGS,2,,LOOKS LIKE PIGS,N,Y,Approved
REDR8GE,2,THE BIKE IS FIRE ENGINE RED,RED RAGE,N,Y,Approved
BAO DOWN,2,my first name and the word down,Bow down. Customer first name is Bao,Y,N,invalid length
BGW,1,better great world,BGW=Bitches Get Wet,N,Y,Approved
B8O8B8D,1,the lettering and mumbers in this plate are the same as a chest my grama left me when she passed away. And I would be hinored to carry that in my car everywhere I go,Looks similar to a text penis. 8XXXXXD is unacceptable for that reason.,N,Y,Approved
DIAO,1,first name of my girlfriend,"Taiwanese word means penis, and is slang for cool",N,Y,Approved
FJ4BCH,3,used to go to the beach,beach or bitch,N,Y,Approved
GET IT,1,to do your best in life,can have sexual connotation,Y,N,invalid characters
HUSL HRD,2,hustle hard,"hustle=making money by any means, can imply illegal activity",Y,N,invalid length
NEGRA,2,my black truck,"Spanish  means black or black woman, NEGRA1O is unacceptable but LANEGRA is out and current",Y,N,"[('negroes', 90.0, 624)]"
OPM,3,opportunities persevere motivation,opium or other people's money,N,Y,Approved
24MMS,2,my favorite number and my initials,24 millimeter could be ammunition,N,Y,Approved
3 CFH 3,3,"song from a band, the #3 is from the 3rd video",CFH=COWBOYS FROM HELL,Y,N,invalid characters
CNRBOX,1,no quickweb,BOX=VAGINA no box car on ani,N,Y,Approved
BLKWOOD,1,model of lincoln,no Lincoln Blackwood on ani Black wood could be sexual,N,Y,Approved
DC2MOBN,2,no quickweb,"MOB=member of bloods, also the mob=organized crime",N,Y,Approved
FIFI4ME,1,no quickweb,fifi is prison slang for an artificial vagina,N,Y,Approved
HEYMAMU,2,"it is my company name, which I opened this year",MAMU=Hindi word for maternal uncle- slang for stupid person or asshole,N,Y,Approved
HMSTRKR,2,no quickweb,STRIKE HER?,N,Y,Approved
QNLOCA1,2,queen loca,LOCA=CRAZY,Y,N,"[('cocaine', 90.0, 283)]"
WIRED42,3,business word,WIRED can mean high on amphetamines or cocaine,N,Y,Approved
DRDUST,2,NO MICRO,DUST CAN BE SLANG FOR PCP ON URBAN. 626 UP   205 DOWN,N,Y,Approved
BLUE FAN,7,"I'M A FAN OF MICHIGAN WOLVERINES. THEY HAVE A NICKNAME OF ""BIG BLUE""",BLUE-GANG COLOR,Y,N,invalid length
CHAPN88,7,CHAPIN ES THE NICK OF GUATEMALAN PEOPLE. 88 YEARS I CAME TO THE COUNTRY,88-HITLER RLEATED,N,Y,Approved
CHRMNMF,3,"I AM THE CHAIRMAN OF OUR ""MINI FANTASY FOOTBALL LEAGUE"" COMMITTEE.",CHAIRMAN MOTHER FUCKER,N,Y,Approved
I6NRANT,7,"""I6"" (SHORT OFR INLINE SIX) IS THE TYPE OF MOTOR IN THE CAR. AS A WHOLE I WANT I6NRANT 9IGNORANT) BECAUSE OF THE PEOPLE I MEET DON'T KNOW ANYTHING ABOUT THE CAR.","WAS GOING TO PULL FOR SUB 6 FOR G BECAUSE ""IGNRANT"" IS CURRENT. BUT WITH HIS MEANING?",N,Y,Approved
KRSHW FN,3,"I AM A DODGER FAN AND CLAYTON KERSHAW IS MY FAVORITE PLAYER. THE PLATE MEANS ""KERSHAW FAN""",FN- FUN OR FUCKEN,Y,N,invalid length
LA31OCA,7,"LUZ AUSBURN, CHUCK AUSBURN",310 LA AREA CODE,N,Y,Approved
MR18CHY,7,LUCKY PLATES,18-HITLER RELATED,N,Y,Approved
MY13VRT,7,MY 2013 CONVERTIBLE,13-GANG NUMBER,N,Y,Approved
PENJ GTO,3,"PENJAMO:CITY IN MEXICO. GUANAJUATO"" STATE IN MEXICO. MY FAMILIAL ROOTS AND FAMILS HOMETOWN.","I THINK THEY ARE TRYING TO SAY ""PENDAJO"" THEY DON'T OWN A GTO CAR?",Y,N,invalid length
RAMNYOU,1,INSIDE JOKE BETWEEN CLOSE FRIENDS INVOLVING MY RAM TRUCK,"SEXUAL ""RAM IN YOU""",N,Y,Approved
RED DIVA,7,"I AM A REDHEAD, MY CAR'S INTERIOR IS RED, OH, AND I'M A DIVA",RED-GANG COLOR,Y,N,invalid length
REDCRPT,7,"VEHICLE IS ""RED CARPET"" VERSION OF 1966 INTERNATIONAL HARVESTER SCOUT",RED-GANG COLOR. HE DOES HAVE A 66 INTEL,N,Y,Approved
RED 21,7,MY INTIALS RODRIGUEZ EDGARD DELGADO FAVORITE NUMBER 21,RED-GANG COLOR,Y,N,invalid characters
SCOOBAE,3,SCOOBAE IS MY CARS NAME I GAVE IT.,BAE CAN BE SHIT IN DANISH,N,Y,Approved
SCTN4FN,3,SCOUTING FOR FUN,FN- FUN OR FUCKEN,N,Y,Approved
YASKO69,1,LAST NAME/NICKNAME YASKOWITZ AND YEAR OF CAR IS 1969,NO 69 CAR,N,Y,Approved
ZOMBPHD,1,ZOMBIE PHD,PHD-PRETTY HUGE DICK URBAN 1026 UP 449 DOWN,N,Y,Approved
$JUE,2,WIFES NAME,JEW?,Y,N,invalid characters
BJDEALR,1,JOB,BJ-BLOW JOB,N,Y,Approved
BUL1DOG,7,#1 FRESNO STATE FOOTBALL FAN AND ALUMNI,"WOULD PULL FOR SUBSTUTE 1 FOR L BECAUSE ""BULLDOG"" IS CURRENT BUT HIS MEANING?",N,Y,Approved
CMC18,7,INTIALS,18-HITLER RELATED,N,Y,Approved
DOMECHK,1,"""DOMECHECK"" RACING, OUR FUN NON PROFESSIONAL GROUP OF DIRTBIKE RACERS.",DOME-ON URBAN IS GIVING A BLOW JOB 4495 UP N 915 DOWN. THROW IN CHICK ADDS MORE MEANING. BUT WHAT SHE SAYS IS TRUE,N,Y,Approved
JW18,7,MY INTIALS AND THE YEAR I'M GRADUATING,18-HITLER RELATED,N,Y,Approved
PUCKDRP,3,PUCK DROP,PUCK FUCK? WHAT THEY SAY IS TRUE,Y,N,contains the restricted letter combinationUCK
SC TRJAN,1,I AM A DEVOTED USC ALUMNI & FAN,TROJAN CONDOM OR UCLA MASCOT?,Y,N,invalid length
TACCOS,1,FUN FOOD,TACO IS SLANG FOR VAGINA,N,Y,Approved
66JOY88,7,MY NICKNAME IS JOY AND 6 AND 8 ARE LUCKY CHINESE NUMBERS,88-HITLER RELATED,N,Y,Approved
PAPADBJ,1,GRANDFATHER WITH INTIALS,BJ-BLOW JOB,N,Y,Approved
YUH8N,2,NO MICRO,WHY YOU HATIN?,N,Y,Approved
GUIDO 63,2,NO MICRO,GUIDO-SLANG TOWARDS ITALIANS,Y,N,invalid length
18ALMA,2,NO MICRO,18-HITLER,N,Y,Approved
WDOWMKR,7,IT IS FOR A 69 CAMARO. THE CARS NICKNAME IS WIDOWMAKER,WIDOW MAKER,N,Y,Approved
LMTLS13,2,LIMITLESS SOCIETY S13,13-GANG,,Y,Approved
EXTASE,1,JOY,ECSTACY AS IN DRUGS,N,Y,Approved
HELKATT,2,IT'S THE MODEL OF CAR. HELLCAT DODGE CHALLENGER.,HEL CAT,Y,N,contains the restricted letter combinationHEL
LNDCRSH,2,I HAVE AN LAND CRUSER MODEL AND GO ON THE MOUNTAIN ROADS OFTEN. THIS TO ME MEANS THAT MY TRUCK IS AWSOME.,LAND CRASH,Y,N,"[('crash', 88.88888888888889, 302)]"
OG5O4ME,2,,OG ORIGINAL GANGSTER,N,Y,Approved
PROFANE,3,CALL SIGN,PROFANE,Y,N,contains the restricted letter combinationFAN
SEXY 911,1,911 IS THE MODEL NUMBER OF MY CAR,911 EMERGENCY SEXY,Y,N,invalid length
SUPA GEE,2,"THE CAR MODEL IS A SUPERLEGGERA GALLARDO AND ITS REFFERED TO AS A  SUPER G.  SINCE SUPER G IS TAKEN, THIS IS THE ONLY SPELLING AVAILABLE.",GEE LOOK LIKE G FOR GANGSTER,Y,N,invalid length
BKFAIRS,2,BOOK FAIRS,BK BLOOD KILLER,Y,N,"[('fairies', 83.33333333333334, 366)]"
HRNTF18,2,,18 HITLER REFERENCE,N,Y,Approved
MIREDBX,1,MY RED BOX,MY RED BOX,N,Y,Approved
14ESQ78,2,,14 HITLER REFERENCE,N,Y,Approved
GNG2HNT,7,GOING TO HUNT: ONE OF MY HOBBIES/PASSIONS. WOULD LOVE A DUCK UNLIMITED SPONSORED PLATE LIKE OTHER STATES HAVE.,GOING TO HUNT,N,Y,Approved
RAAW93O,1,NO MICRO,PULL FOR RAW?,N,Y,Approved
RMBL619,7,SUBARU IS KNOWN FOR THE RUMBLE THE EXHAUST MAKES. 619 IS THE SAN DIEGO AREA CODE,SAN DIEGO AREA CODE,N,Y,Approved
SWASTIK,2,SYMBOL OF AUSPICIOUSNESS AND GOOD OMEN,SWASTIKA,N,Y,Approved
THNK BLU,2,THINK BLUE,BLUE-GANG,Y,N,invalid length
BLUETTE,2,NO MICRO,BLUE-GANG,N,Y,Approved
KSSDISS,7,KISS THIS SUPER SPORT TRUCK/2003 SILVERADO SS MODELL,KIS THE LIPS OR ASS?,N,Y,Approved
MRBNR2U,1,MR BONNER TO YOU,MR BONER (HARD ON) TO YOU.,N,Y,Approved
NOTTAP,1,NICKNAME,TAP CAN BE SLANG FOR SEX,N,Y,Approved
OG4O9SS,7,NOTHING,OG-ORGINAL GANGSTA,N,Y,Approved
RUBI RED,7,RUBICON RED,RED-GANG COLOR,Y,N,invalid length
1BAE16R,3,IMPORTANT DATE AND NAME,BAE IS DANISH SLANG FOR POOP,N,Y,Approved
PSYCDOC,1,I AM A CLINICAL PSYCHOLOGIST,PSY-PUSSY,N,Y,Approved
BB WOLF2,2,I AM PART OF A CAR CLUB. THIS IS MY CARS NICKNAME.,BB LOOKS LIKE 88,Y,N,invalid length
BDASCMP,2,BARBIE DOLL AND STEVE CAMPER,BAD ASS CAMP,N,Y,Approved
CAME68,1,ALPHA CODE,CAME 68 SOUNDS LIKE A SEXUAL REFERENCE,N,Y,Approved
CARTEL,2,"ITS FOR A 1947 CADILLAC, AND THE CAR CLUB NAME IS ""CADILLAC CARTEL CAR CLUB WE DO HOMELESS EVENTS",AS IN DRUG CARTEL,N,Y,Approved
FGNLUX3,2,FOREIGN LUXURIES,FUGGIN LOOKS LIKE FUCKIN,N,Y,Approved
FINL 911,2,PORSCHE CAR,FINAL 911,Y,N,invalid length
FYUECSK,3,FIND YOUR UNIVERSAL EVERLASTING CONSCIOUSNESS SEARCHING(FOR) KNOWLEDGE,FUCK YES,N,Y,Approved
GNR1987,2,"GNR = GUNS N ROSES, 1987 IS WHEN THE DEBUT ALBUM CAME OUT",LOOKS LIKE GUNNER,N,Y,Approved
GOBIGRD,2,I ATTENDED THE UNIVERSITY OF NEBRASKA. THIS IS WHAT YHEY YELL DURING THEIR FIGHT SONG,GO BIG RED,Y,N,bi
HLGNCAT,2,CHILDHOOD NICKNAME - HOOLIGANCAT,LOOKS LIKE HULIGAN CAT,N,Y,Approved
REDRUMZ,2,THE COLOR OF MY FIRST NISSAN Z ALSO THE NAME OF CHILDHOOD PET,RED RUM MURDER BACKWARDS,N,Y,Approved
SMKEATR,2,SMOKE EATER IS A TRADITIONAL TERM FOR A FIREFIGHTER,SMOKE EATER,N,Y,Approved
TECH9RT,2,ITS THE BAND TECH 9 AND MODEL OF THE CAR,TECH 9 GUN,N,Y,Approved
TRPNBLS,2,TO BE HIGH ON LIFE,TRIPPIN BALLS,N,Y,Approved
VDUB42O,2,VOLKSWAGENS HERE,420 4/20 MARIJUANA WEED CANNIBUS,N,Y,Approved
8H8H8H8,2,"ALL EIGHTS, 8 IS THE EIGHTH LETTER OF THE ALPHABET",HATE,N,Y,Approved
911 SPEC,2,PORSCHE,911 EMERGENCY SPECS,Y,N,invalid length
911 T S,2,PORSCHE 911 MODEL TURBO S,911 EMERGENCY SPECS,Y,N,invalid characters
GR8X4US,2,GREAT TIMES FOR US,GREAT ECSTACY FOR US,N,Y,Approved
2 BLU QS,2,TWO BLUE 'QUEENSLAND HEELERS' (DOGS),BLU,Y,N,invalid length
ALHH,2,WIFE'S INITIALS,LOOKS LIKE ALL  HAIL HITLER,N,Y,Approved
KOMTACO,1,"""KOM"" IS MY INITIALS AND ""TACO"" IS SHORT FOR TACOMA WHICH IS THE TRUCK ITS GOING ON",LOOKS LIKE COME TACO,N,Y,Approved
DR 7O7,2,I AM A DR AND THE CAR HAS 707 HORSEPOWER,AREA CODE,Y,N,invalid characters
EAT KHW,1,ELECTRIC CAR USES KILOWATT HOURS OF ELECTRICITY TO POWER IT,EAT,Y,N,invalid characters
IDFWUU,3,IM DOWN FOR WOMANS UNITY,I DON’T FUCK WITH YOU,N,Y,Approved
ELLIE88,2,DAUGHTERS NAME,88 HITLER REFERENCE,N,Y,Approved
B31ODAT,7,NO MICRO,310 LA AREA CODE,N,Y,Approved
NWA4LIF,7,NAME,NWA. NIGGAS WITH ATTITUDE,N,Y,Approved
42OHRSZ,7,420 HORSES,420-WEED,N,Y,Approved
